,date,deaths_new,deaths_bid,deaths_new_dod,deaths_bid_dod,deaths_pvax,deaths_fvax,deaths_tat,ma
196,2021-07-16,115,24,212,41,57,3,3,106.85714285714286
197,2021-07-17,138,18,262,44,68,3,2,114.14285714285714
198,2021-07-18,153,24,235,43,63,4,2,123.14285714285714
199,2021-07-19,129,13,221,33,63,2,2,126.85714285714286
200,2021-07-20,93,10,275,57,77,3,1,122.28571428571429
201,2021-07-21,199,33,270,52,88,10,4,133.85714285714286
202,2021-07-22,134,22,264,47,91,8,2,137.28571428571428
203,2021-07-23,144,8,289,55,100,11,2,141.42857142857142
204,2021-07-24,184,32,298,59,96,14,3,148.0
205,2021-07-25,92,8,303,56,93,7,2,139.28571428571428
206,2021-07-26,207,14,268,64,84,10,3,150.42857142857142
207,2021-07-27,207,31,273,72,62,12,3,166.71428571428572
208,2021-07-28,143,14,320,61,98,14,2,158.71428571428572
209,2021-07-29,174,28,288,65,78,19,2,164.42857142857142
210,2021-07-30,134,9,327,88,103,9,2,163.0
211,2021-07-31,165,12,312,85,103,15,3,160.28571428571428
212,2021-08-01,160,20,326,98,101,14,3,170.0
213,2021-08-02,219,21,374,96,135,18,3,171.71428571428572
214,2021-08-03,195,34,339,84,111,23,3,170.0
215,2021-08-04,257,21,306,79,90,22,4,186.28571428571428
216,2021-08-05,164,22,310,63,90,23,3,184.85714285714286
217,2021-08-06,160,24,357,90,115,23,3,188.57142857142858
218,2021-08-07,210,34,333,71,104,18,4,195.0
219,2021-08-08,360,85,319,78,87,21,8,223.57142857142858
220,2021-08-09,212,16,303,63,89,13,3,222.57142857142858
221,2021-08-10,201,34,406,117,122,40,4,223.42857142857142
222,2021-08-11,211,16,286,64,88,19,4,216.85714285714286
223,2021-08-12,318,93,294,56,104,31,5,238.85714285714286
224,2021-08-13,277,96,263,32,82,22,6,255.57142857142858
225,2021-08-14,260,68,275,59,84,28,5,262.7142857142857
226,2021-08-15,282,101,289,67,104,22,4,251.57142857142858
227,2021-08-16,274,77,291,61,88,27,5,260.42857142857144
228,2021-08-17,293,44,250,64,68,21,4,273.57142857142856
229,2021-08-18,225,35,275,69,82,30,3,275.57142857142856
230,2021-08-19,178,35,257,69,71,27,3,255.57142857142858
231,2021-08-20,233,60,232,52,68,24,4,249.28571428571428
232,2021-08-21,223,35,246,59,64,33,4,244.0
233,2021-08-22,232,43,302,72,73,42,4,236.85714285714286
234,2021-08-23,174,21,271,57,72,28,3,222.57142857142858
235,2021-08-24,211,40,186,66,52,29,3,210.85714285714286
236,2021-08-25,265,69,234,51,51,28,5,216.57142857142858
237,2021-08-26,393,100,269,55,82,31,6,247.28571428571428
238,2021-08-27,339,99,235,55,70,27,8,262.42857142857144
239,2021-08-28,252,31,238,62,57,36,3,266.57142857142856
240,2021-08-29,285,51,245,69,56,36,4,274.14285714285717
241,2021-08-30,295,53,271,68,53,30,3,291.42857142857144
242,2021-08-31,282,98,255,62,51,44,6,301.57142857142856
243,2021-09-01,278,65,267,61,55,49,3,303.42857142857144
244,2021-09-02,249,80,225,52,61,29,4,282.85714285714283
245,2021-09-03,330,93,216,51,48,34,6,281.57142857142856
246,2021-09-04,362,104,224,44,56,28,5,297.2857142857143
247,2021-09-05,336,107,249,51,64,53,7,304.57142857142856
248,2021-09-06,272,81,232,51,41,37,4,301.2857142857143
249,2021-09-07,311,93,225,53,48,26,4,305.42857142857144
250,2021-09-08,362,102,246,63,50,50,8,317.42857142857144
251,2021-09-09,322,55,209,49,55,44,7,327.85714285714283
252,2021-09-10,341,102,212,48,42,42,9,329.42857142857144
253,2021-09-11,592,88,210,49,48,39,25,362.2857142857143
254,2021-09-12,292,106,223,47,42,49,5,356.0
255,2021-09-13,413,176,177,41,34,32,6,376.14285714285717
256,2021-09-14,463,108,191,50,47,46,23,397.85714285714283
257,2021-09-15,422,92,207,46,43,44,7,406.42857142857144
258,2021-09-16,346,105,180,38,39,53,6,409.85714285714283
259,2021-09-17,388,64,187,27,41,61,7,416.57142857142856
260,2021-09-18,324,70,166,29,32,37,4,378.2857142857143
261,2021-09-19,376,75,155,44,29,40,6,390.2857142857143
262,2021-09-20,301,92,146,25,50,34,12,374.2857142857143
263,2021-09-21,334,84,150,23,26,35,27,355.85714285714283
264,2021-09-22,487,161,144,31,35,35,9,365.14285714285717
265,2021-09-23,116,29,148,38,25,32,4,332.2857142857143
266,2021-09-24,250,49,146,34,25,49,3,312.57142857142856
267,2021-09-25,228,36,158,29,28,45,3,298.85714285714283
268,2021-09-26,278,99,122,29,28,31,5,284.85714285714283
269,2021-09-27,258,75,129,17,19,43,11,278.7142857142857
270,2021-09-28,240,71,105,21,20,35,4,265.2857142857143
271,2021-09-29,208,64,118,26,15,50,4,225.42857142857142
272,2021-09-30,192,47,125,27,18,37,3,236.28571428571428
273,2021-10-01,121,28,90,10,13,31,2,217.85714285714286
274,2021-10-02,109,33,128,29,11,50,2,200.85714285714286
275,2021-10-03,118,27,95,18,11,39,3,178.0
276,2021-10-04,76,15,83,14,8,35,2,152.0
277,2021-10-05,117,16,93,21,11,44,3,134.42857142857142
278,2021-10-06,105,26,78,15,8,29,3,119.71428571428571
279,2021-10-07,132,26,68,12,8,25,3,111.14285714285714
280,2021-10-08,78,23,49,8,5,23,3,105.0
281,2021-10-09,74,27,26,1,1,12,3,100.0
282,2021-10-10,64,14,11,2,1,5,2,92.28571428571429
283,2021-10-11,93,16,0,0,0,0,4,94.71428571428571
